Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;100000;-43.0658348148946;13193.178853962;13193.2491426016;90.1870270872165;51.8559598690763
2;79433;-85.3953746247894;16659.6226977774;16659.8415599401;90.2936892265256;50.5609378723459
3;63096;-117.778245366888;20993.1990407564;20993.5294240844;90.3214434143752;49.2409138756786
4;50119;-146.118058002995;26484.5744075302;26484.9774784665;90.3161033650779;47.8608868791629
5;39811;-134.468369986114;33387.1847603032;33387.4555478723;90.2307600498683;46.6008648823441
6;31623;-87.0390011675117;42024.9424474288;42025.0325817533;90.1186666774272;45.3658408854623
7;25119;9.28246563524442;52859.6120716973;52859.6128867257;89.9899385167983;44.0358158888203
8;19953;94.8196549273066;66444.8884056055;66444.9560613921;89.9182365643959;42.7657938920268
9;15849;315.078346868406;83429.8255140212;83430.4204691832;89.7836196641199;41.4507678953469
10;12589;484.815553807168;104756.68933481;104757.811195687;89.7348361528611;40.2407468984019
11;10000;558.274644902993;131001.617586541;131002.807148815;89.7558305926676;38.1257089037418
12;7943.3;812.232045548279;164913.929318472;164915.929503956;89.7178098169197;36.8856849068726
13;6309.6;1310.31757297801;206765.147190821;206769.29903877;89.636908527507;35.640661910016
14;5011.9;1386.97705443657;259929.581258026;259933.281667281;89.6942742072318;34.3956369131594
15;3981.1;4142.029429125;326386.128860014;326412.410180767;89.2729223305845;33.1506169163027
16;3162.3;5584.99124799872;409894.03245454;409932.079702338;89.2193674431915;31.8355919196229
17;2511.9;4586.9310495574;511546.915807453;511567.480405636;89.48625485046;30.6105689227157
18;1995.3;1414.02701239357;648854.218384469;648855.759154307;89.8751373584763;29.3755439258339
19;1584.9;19456.65788542;804265.332182794;804500.643932104;88.6141800000998;28.1705219288763
20;1258.9;51778.7125969866;1030265.01403171;1031565.33201536;87.1228687364867;26.9455009319692
21;1000;16035.5025070485;1264471.75246422;1264573.42614835;89.2734378081621;25.6554749352262
22;794.33;-28262.1675786357;1650291.85546619;1650533.84040869;90.981126240816;24.4604539382433
23;630.96;55415.3214286466;1956231.32239307;1957016.05628589;88.3773825051914;23.1654299415129
24;501.19;69656.1440234413;2598269.50076572;2599203.0272777;88.4643443018156;21.9904089444796
25;398.11;-290316.363849638;3085580.15318111;3099207.71695349;95.3750271790898;20.7403869476356
26;316.23;-478838.916818282;4506462.28577529;4531830.65012085;96.0652656533845;19.4503609508926
27;251.19;-461572.431213518;3997312.78660925;4023873.58440175;96.5868110368151;18.2353399539602
28;199.53;1114240.57715674;5087837.24716102;5208418.17804423;77.6471982646601;16.9653139571667
29;158.49;-1305947.86683949;7443245.52141114;7556944.07303042;99.9514878708871;15.6902929603858
30;125.89;-1526584.95799613;4195971.00616995;4465045.83611399;109.992480601024;14.4602699634913
31;100;10504581.9074211;-1973020.2778011;10688266.93465;-10.6376280776447;12.4302349686167
