Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;100000;54.424823228609;6288.90771380611;6289.14320827197;89.5041690910215;57.188059855614
2;79433;63.9228544136682;7917.67325227865;7917.93128671657;89.5374360517156;55.7130328593381
3;63096;78.1722889952838;9972.67538804419;9972.98176585464;89.5508877680151;54.2780048629612
4;50119;112.789882645422;12550.8931353587;12551.3999240253;89.4851194874479;52.7929778667105
5;39811;160.401374345826;15802.5733267274;15803.3873694056;89.4184487561851;51.3729528702958
6;31623;231.787457176601;19866.2525750577;19867.6047071933;89.3315377208025;50.1179308734644
7;25119;325.471361068657;24980.532684976;24982.6528781879;89.2535355238227;48.6829038770875
8;19953;450.905461304559;31364.7807825856;31368.0217622133;89.1763627973973;47.1778758808873
9;15849;619.504801725217;39406.6353071042;39411.5045694334;89.099337292978;45.7828488844094
10;12589;830.824473730635;49486.1633310808;49493.1372064508;89.0381500444406;44.4028248878936
11;10000;1315.20690062363;62122.633926105;62136.5545802815;88.7871642866666;43.0878008912138
12;7943.3;1689.58952014858;77962.4515021852;77980.7576070993;88.7584895627648;39.7327388996845
13;6309.6;2231.87750786125;97854.9757083755;97880.4247441584;88.6934236766997;38.462714902891
14;5011.9;2555.61049021686;122839.071930414;122865.653205862;88.8081595489599;35.2826549109199
15;3981.1;3600.59029816039;154198.31843853;154240.350297079;88.6623644922642;33.9126279143788
16;3162.3;4548.48040844388;193670.139898506;193723.544677288;88.6546153619799;32.4326029181155
17;2511.9;6738.25534155136;241932.128046394;242025.946266314;88.4046194570485;31.1075769214609
18;1995.3;6866.59300803975;304887.837388879;304965.151266838;88.7098196382835;29.8275549246927
19;1584.9;12015.5759084508;381549.349863615;381738.49746359;88.1962638811001;28.6275309277224
20;1258.9;6644.92948093112;474825.452821053;474871.946670389;89.1982284003381;27.3775079308784
21;1000;13765.9961375746;598376.849687765;598535.175985433;88.6821108190075;25.8974819346151
22;794.33;38022.9690542452;738123.25780134;739101.948233776;87.051127043064;24.5874559379226
23;630.96;43391.0029285399;948588.03549271;949579.928292013;87.3809605086054;23.2424319413185
24;501.19;49611.9542312715;1191120.88825071;1192153.64631821;87.614924287833;21.9874079444871
25;398.11;24216.9444533067;1353871.37339727;1354087.94252931;88.9752492112609;20.6723829478073
26;316.23;194905.343729199;1681173.88040667;1692434.25549586;83.38698903517;19.3223589512157
27;251.19;196329.53690144;2520508.1587264;2528142.92817204;85.5460623109809;18.0873369543339
28;199.53;-391412.668917354;2775723.50865008;2803184.77340715;98.0265186483693;16.5373069582473
29;158.49;419177.133417835;3963649.27607437;3985752.75862732;83.9631037481167;15.2022849616179
30;125.89;-505615.329238944;3345717.15926328;3383706.57282073;98.593691137914;13.8422589650517
31;100;-8752692.13307003;18633113.3371386;20586464.7817676;115.161254907272;11.732221970379
