Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;100000;-295.148146274905;25125.9408885025;25127.6743444508;90.6730082441911;51.3499508703538
2;79433;-397.67655126598;31791.9402862383;31794.4274017189;90.7166596162425;49.9849268738002
3;63096;-485.345028698919;40167.2467973008;40170.1789275596;90.6922771845546;48.6248988772339
4;50119;-751.127772709348;50603.1829007621;50608.7572720268;90.8504068019821;47.3048758805667
5;39811;-803.086179755297;64008.4971355397;64013.534920066;90.7188269769437;46.0498518837353
6;31623;-584.20308035359;80805.6731338254;80807.7849210689;90.4142257147815;44.7498288870175
7;25119;-358.147882219912;101943.432174387;101944.061295396;90.201290826009;43.4648028902619
8;19953;-111.102083024799;128189.421601197;128189.469747411;90.0496583788195;42.1447788935947
9;15849;241.001764551153;161602.065961229;161602.245667528;89.9145532351646;40.8747578968012
10;12589;1171.01115371581;203339.157691938;203342.52953573;89.6700426227648;39.7097378997425
11;10000;1807.47616662357;254567.478358418;254573.894985044;89.5931962072221;37.574695905133
12;7943.3;3167.31268008407;319768.199231777;319783.885006025;89.4325023095303;36.3396739082511
13;6309.6;4783.42508577012;403158.38003583;403186.756415269;89.3202244504385;35.074647911445
14;5011.9;9625.1400485999;505697.113440905;505788.704760613;88.9095976488176;33.8746259144748
15;3981.1;14181.5257925312;636907.354722607;637065.21971738;88.7244497541162;32.5896049177192
16;3162.3;24317.2756111975;797772.692993819;798143.219967295;88.2540816357177;31.3545809208373
17;2511.9;9202.83716839045;991794.169028207;991836.864575168;89.4683689281547;30.0795569240564
18;1995.3;5497.24688379914;1242834.49321585;1242846.65073789;89.7465736644107;28.9345369269473
19;1584.9;63353.2136040816;1558613.89075772;1559900.9231797;87.6723711506159;27.7045119300528
20;1258.9;107861.573680917;1846156.52531224;1849304.74368879;86.6562989342711;26.4194899332972
21;1000;55485.3475128785;2305624.54056582;2306292.07730677;88.6214309007015;25.1294639365542
22;794.33;369562.392649751;3310403.79273546;3330968.27259257;83.6300659686181;23.8844399396976
23;630.96;179025.161563988;3682592.13906983;3686941.12662678;87.2168198999984;22.6344199428536
24;501.19;359125.192593881;3977724.64240936;3993903.38325632;84.8410902942985;21.3543949460853
25;398.11;67306.4266071643;4918673.29300194;4919133.77723692;89.2160216227793;20.0743729493171
26;316.23;-640178.815874632;5285963.06104855;5324587.72104136;96.9054161052546;18.8543469523974
27;251.19;5624522.12779456;8429927.47723618;10134047.8801667;56.2884318665278;17.519323955768
28;199.53;-1632271.27517767;6968763.71379288;7157372.22830045;103.182561756071;16.2642999589366
29;158.49;-1554342.25721974;10519731.1874827;10633942.077587;98.4049224826302;14.9442769622693
30;125.89;5810728.81330007;-807602.502223937;5866582.57789951;-7.91254929463777;13.7792549652107
31;100;763482.230384731;5257606.23826308;5312751.49736331;81.7375595198525;11.7492199703361
