Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;100000;7.04455461751184;28104.5779769497;28104.5788598263;89.9856385233747;55.8710358589392
2;79433;-84.5435673548659;35382.0845685016;35382.1855744862;90.1369048894287;54.6060138621331
3;63096;-419.648620551299;44819.7377912798;44821.7023398689;90.5364465175047;53.2009858656804
4;50119;-820.737650045749;57298.9626832602;57304.8404139463;90.8206359346274;51.8159608691773
5;39811;-979.091572565873;72546.5616599683;72553.1682905099;90.7732194056944;50.4209358726994
6;31623;-953.49188525125;91754.0616515139;91759.0157767893;90.5953861162494;49.0709088761079
7;25119;-662.904382482668;116079.752569923;116081.645400618;90.3271992712578;47.7508838794406
8;19953;-342.065067739244;144698.667075228;144699.071392522;90.1354459483816;46.4408598827481
9;15849;554.291416987425;180093.129012039;180093.982010288;89.8236553570543;45.0308358863081
10;12589;1153.05995670923;226792.149085583;226795.080268778;89.7086984709443;43.7758128894767
11;10000;2479.67122899024;291465.04570266;291475.593550914;89.5125615558979;41.5007688952206
12;7943.3;13444.6754468242;349829.449925643;350087.708057779;87.7990868587587;40.1807468985534
13;6309.6;19559.0212443786;439945.109582329;440379.671144623;87.4544280712051;38.925722901722
14;5011.9;10573.408089737;581176.045780282;581272.21948708;88.9577257405473;37.6306969049916
15;3981.1;26169.4168327858;706807.825766207;707292.118534995;87.8796038996296;36.345674908236
16;3162.3;39571.2971360547;878572.828395466;879463.530995936;87.4211164416799;35.0106489116066
17;2511.9;34301.1675568228;1141872.79039306;1142387.86737946;88.2793868751066;33.7306269148384
18;1995.3;107356.623660332;1353233.71235435;1357485.51553823;85.4640315546031;32.4256029181332
19;1584.9;77978.8402785998;1691666.87164195;1693463.16881769;87.3607699808062;31.1655769213145
20;1258.9;6316.54718126046;2448435.14365195;2448443.29144831;89.852186939638;29.8705529245841
21;1000;-83084.2198072722;2883813.23274175;2885009.83515089;91.6502659147564;28.2955259285607
22;794.33;208928.671154787;4061210.30014309;4066580.9092675;87.0550189650754;27.0455009317167
23;630.96;402814.052155897;4542804.79923316;4560628.75101121;84.9327910412882;25.6504769352388
24;501.19;719197.517783141;6062001.11245919;6104514.93216634;83.2340391111055;24.3004539386473
25;398.11;-964764.590450528;6407349.82497267;6479575.79588081;98.5627896855622;23.0004269419295
26;316.23;621935.725386694;6093382.70732849;6125040.15207102;84.1721505823727;21.6754029452749
27;251.19;537996.757259998;36971561.2396419;36975475.3993429;89.1663114270326;17.6353299554751
28;199.53;-5981560.1214818;36212561.9652212;36703251.9754297;99.3793771738886;16.3403059587447
29;158.49;-1999960.59877555;19125590.4500345;19229873.9584821;95.9697162440363;15.0202789620774
30;125.89;-3782415.56138338;2860660.88702796;4742367.36130456;142.899590796851;13.7752569652208
31;100;-3085535.95203751;4357983.67530028;5339714.7700509;125.29922509532;11.6802199705103
