#Digilent WaveForms Logger
#Device Name: Discovery
#Serial Number: SN:210244705107
#Date Time: 2018-05-30 17:11:50.061

Time (s),C1 True RMS (V),C1 AC RMS (V),C2 DC (V),C2 True RMS (V),C2 AC RMS (V)
0,1.1234326638944774,1.12313236982299,-0.0070810932015987014,0.0077800163357540598,0.0032228517270995803
0.10000000000000001,1.1235015763259728,1.1232106928467289,-0.0069336707993382235,0.0076194502931722441,0.0031591505213463314
0.20000000000000001,1.1230925781520427,1.1227941414607432,-0.0071629945361878049,0.0078378235954407009,0.0031816643424136394
0.29999999999999999,1.1230098212801523,1.1227261929331722,-0.0065043353822289299,0.0072429524549794903,0.0031865312646475966
0.40000000000000002,1.1227404197704309,1.1224435366328933,-0.0062926850912643677,0.007037531209334506,0.0031510252084891604
0.5,1.1225643993381376,1.1222837603628089,-0.0067940074708809787,0.0075003188850681825,0.0031774590262221626
0.59999999999999998,1.1221293106753256,1.1218472391452925,-0.0067090887187017424,0.0074220826059128728,0.0031741831663561876
0.69999999999999996,1.1218518856099673,1.121551088944958,-0.0069034966234369673,0.0075743051354607944,0.0031163813398328625
0.80000000000000004,1.1216084352049456,1.1212947813971166,-0.0068935822513551378,0.007599458312720654,0.0031984825137204129
0.90000000000000002,1.1216108090749057,1.1213201863592166,-0.0069422919924528896,0.0076412693304487144,0.0031927384596887576
1,1.1211702585238605,1.1208793850092511,-0.0064138128545251395,0.0071317798466323298,0.0031185394735286968
1.1000000000000001,1.1210851013224263,1.120777000680238,-0.0064914035925569295,0.0072196794747018556,0.0031599764423120556
1.2,1.1207848772625122,1.120470171298515,-0.0067336591190784671,0.0074443764109911438,0.0031743621432610051
1.3,1.1204942758716201,1.1201597141245951,-0.0062310435604946562,0.0069893757245899088,0.00316630212814587
1.3999999999999999,1.120294438113248,1.1199670010883565,-0.0063263077444114871,0.0070743477135886768,0.003166105793518979
1.5,1.1200263065238347,1.1197021797503528,-0.0061581944786759345,0.0069369623645878708,0.0031934444743118551
1.6000000000000001,1.1196131187240068,1.1192925521355228,-0.0064866619363438804,0.0072184974363039027,0.003167005235472684
1.7,1.1195044105817944,1.1192071430200148,-0.0063168244319853802,0.0070674133349432084,0.0031695520728335855
1.8,1.1190230523660851,1.1187228657375301,-0.0062569071398386102,0.0070178742182193535,0.003178312694840387
1.8999999999999999,1.118640124942337,1.1183345626420031,-0.0059508547842686676,0.0067254087610131054,0.0031334406551355408
2,1.1185870937349303,1.1182690378122022,-0.0064189855703939138,0.0071467099738658788,0.0031419878576510918
2.1000000000000001,1.1183271409058728,1.1180324778400994,-0.0066379638755059223,0.0073592466658933186,0.0031774120093147817
2.2000000000000002,1.1180482612742644,1.1177529343164809,-0.0062582003188057997,0.0070094656520764522,0.0031571407154791908
2.2999999999999998,1.1174955302538556,1.1171994462083865,-0.0063116517161166041,0.0070869804611076222,0.0032230955106175448
2.3999999999999999,1.1173420063156774,1.1170297521605868,-0.0059999955850221637,0.0067926854260022523,0.0031844353151439875
